briefitem,bibid,systemfolder,objectid,vid,publisher,format,pdf_name,pdf,title,image_name,thumb,image,imageid,measurements,title_alternative,title_original,subject,source_institution,rights,rightsstatement,type,description_physical,note,permanentlink,language,date_modified,date_created,format_original,holding_location,genre,publication_date,Collection,description,short_description,reference_url
"","","","special1","","","image/jpeg","","","2nd Court, PEI Dorms, January 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/83/00001/SF232.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special1.html"
"","","","special2","","","image/jpeg","","","41 Bridge, April 1985","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/71/00001/EC145.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special2.html"
"","","","special3","","","image/jpeg","","","41 Overpass Construction, April 1985","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC137.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special3.html"
"","","","special4","","","image/jpeg","","","41, Zinns, Bay Shore Road A, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/82/00001/Blue078.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special4.html"
"","","","special5","","","image/jpeg","","","Aaron Gustafson, 1996","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP064.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special5.html"
"","","","special6","","","image/jpeg","","","Aerial, April 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue088.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special6.html"
"","","","special7","","","image/jpeg","","","Aerial, August 1985","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue179.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special7.html"
"","","","special8","","","image/jpeg","","","Aerial from East Campus, January 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/88/00001/EC215.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special8.html"
"","","","special9","","","image/jpeg","","","Aerials, April 1985","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC119.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special9.html"
"","","","special10","","","image/jpeg","","","Aerials, August 1985","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue099.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special10.html"
"","","","special11","","","image/jpeg","","","Air View, East Campus, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/90/00001/Blue086.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special11.html"
"","","","special12","","","image/jpeg","","","Air View, Museum &amp; Caples A, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/89/00001/Blue085.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special12.html"
"","","","special13","","","image/jpeg","","","Air View, Zinns, Etc., April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/91/00001/Blue087.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special13.html"
"","","","special14","","","image/jpeg","","","Akido, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/95/00001/Admissions2_247.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special14.html"
"","","","special15","","","image/jpeg","","","Al Beulig","","http://ncf.sobek.ufl.edu/content/AA/00/02/60/72/00001/FTD_002_021_00001.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special15.html"
"","","","special16","","","image/jpeg","","","Alisdair Lee, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/49/00001/VBP101.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special16.html"
"","","","special17","","","image/jpeg","","","Ambassadors, March 1989","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/20/00001/EC258.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special17.html"
"","","","special18","","","image/jpeg","","","Announcement of New College Architect","","http://ncf.sobek.ufl.edu/content/AA/00/02/64/50/00001/East_Pei_0001.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special18.html"
"","","","special19","","","image/jpeg","","","Anthro Studio, Inside A, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/19/00001/SF084.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special19.html"
"","","","special20","","","image/jpeg","","","Anthropology Class with Dr. Maria Vesperi, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/18/00001/Wallace072.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special20.html"
"","","","special21","","","image/jpeg","","","Anthropology Lab Dedication","","http://ncf.sobek.ufl.edu/content/AA/00/02/56/32/00001/ARCH2_016_009_00001.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special21.html"
"","","","special22","","","image/jpeg","","","Anthropology Lab Dedication","","http://ncf.sobek.ufl.edu/content/AA/00/02/56/38/00001/SPF_001_003_00041.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special22.html"
"","","","special23","","","image/jpeg","","","Anthropology Studio, Mask, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/21/00001/Blue239.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special23.html"
"","","","special24","","","image/jpeg","","","Anthropology Studio Sign, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/14/00001/Blue232.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special24.html"
"","","","special25","","","image/jpeg","","","Arch to College Hall, May 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/76/00001/WC005.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special25.html"
"","","","special26","","","image/jpeg","","","Arches, Fall 1999","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/52/00001/Admissions164.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special26.html"
"","","","special27","","","image/jpeg","","","Archway, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/94/00001/Admissions2_239.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special27.html"
"","","","special28","","","image/jpeg","","","Archway, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/26/00001/Wallace238.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special28.html"
"","","","special29","","","image/jpeg","","","Aron Edidin, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/67/00001/VBP262.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special29.html"
"","","","special30","","","image/jpeg","","","Aron Edidin, April 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/73/00001/SF193.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special30.html"
"","","","special31","","","image/jpeg","","","Aron Edidin, May 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/93/00001/SF248.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special31.html"
"","","","special32","","","image/jpeg","","","Around the Library, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/33/00001/Wallace290.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special32.html"
"","","","special33","","","image/jpeg","","","Art Class, April 1978","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/62/00001/SF153.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special33.html"
"","","","special34","","","image/jpeg","","","Asolo Construction, Undated","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/86/00001/Red395.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special34.html"
"","","","special35","","","image/jpeg","","","B-Dorm Students, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/25/00001/SF091.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special35.html"
"","","","special36","","","image/jpeg","","","Back exterior view of New College library formerly the home of Charles Ringling","","http://ncf.sobek.ufl.edu/content/AA/00/02/56/24/00001/ARCH2_015_002_00003.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special36.html"
"","","","special37","","","image/jpeg","","","Barn &amp; Anthropology Studio, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/24/00001/Blue242.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special37.html"
"","","","special38","","","image/jpeg","","","Basketball, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/96/00001/Admissions2_258.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special38.html"
"","","","special39","","","image/jpeg","","","Basketball Game in Parking Lot, January 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/76/00001/SF197.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special39.html"
"","","","special40","","","image/jpeg","","","Basketball in Parking Lot, January 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/74/00001/Blue057.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special40.html"
"","","","special41","","","image/jpeg","","","Bauer, Gordon and Oscar, 1998","","http://ncf.sobek.ufl.edu/content/AA/00/02/58/52/00001/SPF_001_003_00084.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special41.html"
"","","","special42","","","image/jpeg","","","Bay, January 1983","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/22/00001/WC114.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special42.html"
"","","","special43","","","image/jpeg","","","Bay Shore Road by Library, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/84/00001/Blue080.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special43.html"
"","","","special44","","","image/jpeg","","","Bayfront at Sunset, March 1981","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/92/00001/Admissions2_235.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special44.html"
"","","","special45","","","image/jpeg","","","Bayfront at Sunset, November 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/91/00001/Admissions2_234.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special45.html"
"","","","special46","","","image/jpeg","","","Bayfront Campus Aerials, College &amp; Cook Halls, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/12/00001/Wallace027.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special46.html"
