objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special1,1,"News Release (April 1, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/49/00001/News_Release_Apr_01_1966thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/49/00001/News_Release_Apr_01_1966.pdf,http://ncf.sobek.ufl.edu/NCF0000349,"April 1, 1966",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special2,2,"News Release (April 1, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/41/00001/News_Release_Apr_01_1968_Whitethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/41/00001/News_Release_Apr_01_1968_White.pdf,http://ncf.sobek.ufl.edu/NCF0000741,"April 1, 1968",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special3,3,"News Release (April 10, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/73/00001/News_Release_Apr_10_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/73/00001/News_Release_Apr_10_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000073,"April 10, 1964",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special4,4,"News Release (April 10, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/52/00001/News_Release_Apr_10_1966thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/52/00001/News_Release_Apr_10_1966.pdf,http://ncf.sobek.ufl.edu/NCF0000352,"April 10, 1966",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special5,5,"News Release (April 10, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/53/00001/News_Release_Apr_10_1966_Book_Giftthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/53/00001/News_Release_Apr_10_1966_Book_Gift.pdf,http://ncf.sobek.ufl.edu/NCF0000353,"April 10, 1966",New College of Florida,History;Planning;Records and correspondence,One page news release. Includes photograph caption.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special6,6,"News Release (April 10, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/54/00001/News_Release_Apr_10_1966_Brintonthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/54/00001/News_Release_Apr_10_1966_Brinton.pdf,http://ncf.sobek.ufl.edu/NCF0000354,"April 10, 1966",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special7,7,"News Release (April 10, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/55/00001/News_Release_Apr_10_1966_Marx_Collectionthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/55/00001/News_Release_Apr_10_1966_Marx_Collection.pdf,http://ncf.sobek.ufl.edu/NCF0000355,"April 10, 1966",New College of Florida,History;Planning;Records and correspondence,One page news release. Includes one page news release distribution sheet.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special8,8,"News Release (April 11, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/83/00001/News_Release_Apr_11_1965thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/83/00001/News_Release_Apr_11_1965.pdf,http://ncf.sobek.ufl.edu/NCF0000183,"April 11, 1965",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special9,9,"News Release (April 11, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/84/00001/News_Release_Apr_11_1965_Toynbee_Farewellthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/84/00001/News_Release_Apr_11_1965_Toynbee_Farewell.pdf,http://ncf.sobek.ufl.edu/NCF0000184,"April 11, 1965",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special10,10,"News Release (April 11, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/23/00001/News_Release_Apr_11_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/23/00001/News_Release_Apr_11_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000523,"April 11, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
