objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special1,1,"2nd Court, PEI Dorms, January 1977",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/83/00001/SF232.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/83/00001/SF232.jpg,http://ncf.sobek.ufl.edu/NCF0001483,1977,New College of Florida,History;Slides (Photography);College students and faculty,"1 slide; JAN 77A1, number 3 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special2,2,"41 Bridge, April 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/71/00001/EC145.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/71/00001/EC145.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/71/00001/EC148.jpg,http://ncf.sobek.ufl.edu/NCF0001271,1985,New College of Florida,History;Slides (Photography);East Campus,"1 slide; APR 85, number 12 printed on slide.",
special3,3,"41 Overpass Construction, April 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC137.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC137.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC138.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC139.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC140.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC141.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC142.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC143.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC144.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC146.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/EC147.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red364.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red365.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red366.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red367.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red368.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red369.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red370.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red371.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red372.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red373.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red374.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red375.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red376.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red377.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red378.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red379.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red380.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red381.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red382.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/70/00001/Red383.jpg,http://ncf.sobek.ufl.edu/NCF0001270,1985,New College of Florida,History;Slides (Photography);East Campus,"1 slide; APR 85, number 10 printed on slide; Photograph by Furman C. Arthur.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special4,4,"41, Zinns, Bay Shore Road A, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/82/00001/Blue078.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/82/00001/Blue078.jpg,http://ncf.sobek.ufl.edu/NCF0001182,1987,New College of Florida,History;Slides (Photography);Miscellaneous Photographs,"1 slide; APR 87A02, number 21 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special5,5,"Aaron Gustafson, 1996",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP064.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP064.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP065.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP066.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP067.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP068.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/45/00001/VBP069.jpg,http://ncf.sobek.ufl.edu/NCF0001545,1996,New College of Florida,History;Slides (Photography);Viewbooks,1 slide; P27 written on slide; Photograph by Caroline Segui. Photograph includes: Aaron Gustafson.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special6,6,"Aerial, April 1984",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue088.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue088.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue089.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue090.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue091.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue092.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue093.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue094.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue095.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue096.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue097.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue183.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue184.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue185.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue186.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue187.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue188.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue189.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue190.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue191.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue192.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue193.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/92/00001/Blue194.jpg,http://ncf.sobek.ufl.edu/NCF0001192,1984,New College of Florida,History;Slides (Photography);Miscellaneous Photographs,"1 slide; APR 84A1, number 14 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special7,7,"Aerial, August 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue179.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue179.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue180.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue181.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/06/00001/Blue182.jpg,http://ncf.sobek.ufl.edu/NCF0001206,1985,New College of Florida,History;Slides (Photography);Miscellaneous Photographs,"1 slide; AUG 85, number 02 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special8,8,"Aerial from East Campus, January 1973",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/88/00001/EC215.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/88/00001/EC215.jpg,http://ncf.sobek.ufl.edu/NCF0001288,1973,New College of Florida,History;Slides (Photography);East Campus,"1 slide; JAN 73A6, number 3 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special9,9,"Aerials, April 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC119.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC119.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC120.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC121.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC122.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC123.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC124.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC125.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC126.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC127.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC128.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC129.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC130.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC131.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC132.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC133.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC134.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC135.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC136.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC194.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC195.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC196.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC197.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC198.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC199.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC200.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC202.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC203.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC204.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC206.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC207.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC208.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC210.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC211.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC212.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/69/00001/EC214.jpg,http://ncf.sobek.ufl.edu/NCF0001269,1985,New College of Florida,History;Slides (Photography);East Campus,"1 slide; APR 85, number 33 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special10,10,"Aerials, August 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue099.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue099.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue100.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue101.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/Blue102.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC152.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC153.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC154.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC155.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC156.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC157.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC158.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC159.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC160.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC161.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC162.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC163.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/11/93/00001/EC164.jpg,http://ncf.sobek.ufl.edu/NCF0001193,1985,New College of Florida,History;Slides (Photography);Miscellaneous Photographs,"1 slide; AUG 85, number 13 printed on slide.","This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
